Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,,,,,,,,,,,,,,,
"50.211.139, .140",FALSE,FALSE,FALSE,200843,European Sculpture and Decorative Arts,1950,Cup and saucer,Cup and saucer,"French, Sèvres",NA,NA,NA,NA,Manufactory,NA,Sèvres Manufactory,"French, 1740–present",NA,Sèvres Manufactory,French,1740,9999,NA,http://vocab.getty.edu/page/ulan/500054661,NA,18th–19th century,1700,1899,Soft-paste porcelain,"Height (cup [.139]): 3 1/16 in. (7.8 cm);
Diameter (saucer [.140]): 6 1/4 in. (15.9 cm)","Gift of R. Thornton Wilson, in memory of Florence Ellsworth Wilson, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA,http://www.metmuseum.org/art/collection/search/200843,NA,NA,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,,,,,,,,,,,,,,,
49.28.2,FALSE,FALSE,TRUE,227405,European Sculpture and Decorative Arts,1949,Panel,Panel,"Italian, Venice",NA,NA,NA,NA,Manufactory,NA,Cavenezia workshop,NA,NA,Cavenezia Workshop,NA,NA,NA,NA,NA,NA,early 19th century,1800,1815,Silk and metal thread,L. 27 1/2 x W. 21 inches (69.9 x 53.3 cm),"Rogers Fund, 1949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Textiles-Woven,NA,http://www.metmuseum.org/art/collection/search/227405,NA,NA,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,,,,,,,,,,,,,,,
64.101.166,FALSE,FALSE,TRUE,203162,European Sculpture and Decorative Arts,1964,Bowl,Bowl,"German, Meissen",NA,NA,NA,NA,Manufactory,NA,Meissen Manufactory,"German, 1710–present",NA,Meissen Manufactory,German,1710,9999,NA,http://vocab.getty.edu/page/ulan/500054662,https://www.wikidata.org/wiki/Q822407,1720–25,1720,1725,Hard-paste porcelain,3 1/2 × 7 in. (8.9 × 17.8 cm),"Gift of Irwin Untermyer, 1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA,http://www.metmuseum.org/art/collection/search/203162,NA,NA,"Metropolitan Museum of Art, New York, NY",Human Figures|Hunting|Flowers|Leaves|Bowls,http://vocab.getty.edu/page/aat/300404114|http://vocab.getty.edu/page/aat/300239666|http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300011892|http://vocab.getty.edu/page/aat/300203596,,,,,,,,,,,,,,,
1982.60.151,FALSE,FALSE,TRUE,207053,European Sculpture and Decorative Arts,1982,Figure,Kalmuk Man,"Russian, St. Petersburg",NA,NA,NA,NA,Manufactory,NA,"Imperial Porcelain Manufactory, St. Petersburg","Russian, 1744–present",NA,"Imperial Porcelain Manufactory, St. Petersburg",Russian,1744,9999,NA,http://vocab.getty.edu/page/ulan/500331504,NA,ca. 1780–1800,1775,1805,Hard-paste porcelain,Height: 8 1/2 in. (21.6 cm),"The Jack and Belle Linsky Collection, 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA,http://www.metmuseum.org/art/collection/search/207053,https://www.wikidata.org/wiki/Q44736291,NA,"Metropolitan Museum of Art, New York, NY",Men,http://vocab.getty.edu/page/aat/300025928,,,,,,,,,,,,,,,
64.101.223,FALSE,FALSE,FALSE,237727,European Sculpture and Decorative Arts,1964,Teacup,Teacup(1 of 6) (part of a service),"German, Meissen",NA,NA,NA,NA,Manufactory,NA,Meissen Manufactory,"German, 1710–present",NA,Meissen Manufactory,German,1710,9999,NA,http://vocab.getty.edu/page/ulan/500054662,https://www.wikidata.org/wiki/Q822407,1720–25,1720,1725,Hard-paste porcelain,Diameter: 2 7/8 in. (7.3 cm),"Gift of Irwin Untermyer, 1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA,http://www.metmuseum.org/art/collection/search/237727,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
"50.66a, b",FALSE,FALSE,TRUE,200649,European Sculpture and Decorative Arts,1950,Sugar bowl with cover,Sugar bowl with cover,"German, Baden-Baden",NA,NA,NA,NA,Manufactory,Attributed to,Baden-Baden Pottery and Porcelain Manufactory,German,NA,Baden-Baden Pottery and Porcelain Manufactory,NA,NA,NA,NA,NA,NA,ca. 1770,1765,1775,Hard-paste porcelain,Height (with cover): 4 3/4 in. (12.1 cm),"Gift of R. Thornton Wilson, in memory of Florence Ellsworth Wilson, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA,http://www.metmuseum.org/art/collection/search/200649,NA,NA,"Metropolitan Museum of Art, New York, NY",Flowers|Bowls,http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300203596,,,,,,,,,,,,,,,
1982.60.168,FALSE,FALSE,TRUE,207068,European Sculpture and Decorative Arts,1982,Figure,Kurile Man,"Russian, St. Petersburg",NA,NA,NA,NA,Manufactory,NA,"Imperial Porcelain Manufactory, St. Petersburg","Russian, 1744–present",NA,"Imperial Porcelain Manufactory, St. Petersburg",Russian,1744,9999,NA,http://vocab.getty.edu/page/ulan/500331504,NA,ca. 1780–1800,1775,1805,Hard-paste porcelain,Height: 8 3/16 in. (20.8 cm),"The Jack and Belle Linsky Collection, 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA,http://www.metmuseum.org/art/collection/search/207068,NA,NA,"Metropolitan Museum of Art, New York, NY",Bow and Arrow|Men,http://vocab.getty.edu/page/aat/300025928,,,,,,,,,,,,,,,
50.194.108,FALSE,FALSE,FALSE,211022,European Sculpture and Decorative Arts,1950,Medal,"Jean Sylvain Bailly, (1736–93)","French, Paris",NA,NA,NA,NA,Manufactory|Artist,Cast after the original by the|Medalist:,Paris Mint|Jean Pierre Montagny,"French, 864–present|French, Saint-Etienne 1789–1862 Belleville",NA,"Paris Mint|Montagny, Jean Pierre",NA,0864      |1789,1862,|,|,|,19th and 20th century,1800,1999,Bronze,Diameter: 1 5/8 in. (41 mm),"Gift of Louis S. Levy, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medals and Plaquettes-Reproductions,NA,http://www.metmuseum.org/art/collection/search/211022,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
50.194.62,FALSE,FALSE,FALSE,210976,European Sculpture and Decorative Arts,1950,Medal,"Louis XIV (1638–1715), King of France (1643–1715)","French, Paris",NA,NA,NA,NA,Manufactory|Artist,Cast after the original by the|Medalist:,Paris Mint|Jérôme Roussel,"French, 864–present|French, 1686–1713?",NA,"Paris Mint|Roussel, Jerome",NA,0864      |1686,1713,|,|,|,17th and 20th century,1600,1999,Bronze,Diameter: 3 in. (76 mm),"Gift of Louis S. Levy, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medals and Plaquettes-Reproductions,NA,http://www.metmuseum.org/art/collection/search/210976,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
50.194.127,FALSE,FALSE,FALSE,211041,European Sculpture and Decorative Arts,1950,Medal,"Napoleon Bonaparte, (1769–1819)","French, Paris",NA,NA,NA,NA,Manufactory|Artist|Artist,Cast after the original by the|Medalist (obverse):|Medalist (reverse):,Paris Mint|André Galle|Romain-Vincent Jeuffroy,"French, 864–present|French, Saint-Etienne, Loire 1761–1844 Paris|French, Rouen 1749–1826 Bas-Primay, near Marly",NA,"Paris Mint|Galle, André|Jeuffroy, Romain-Vincent",NA,0864      |1761      |1749,1844      |1826,||,|http://vocab.getty.edu/page/ulan/500025067|http://vocab.getty.edu/page/ulan/500123512,||,19th and 20th century,1800,1999,Bronze,Diameter: 2 5/8 in. (67 mm),"Gift of Louis S. Levy, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medals and Plaquettes-Reproductions,NA,http://www.metmuseum.org/art/collection/search/211041,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
37.20.119,FALSE,FALSE,TRUE,209355,European Sculpture and Decorative Arts,1937,Fruit dish,Fruit dish (part of a service),"French, Sèvres",NA,NA,NA,NA,Manufactory|Decorator,NA,Sèvres Manufactory|Guillaume Noël,"French, 1740–present|French, active 1755–1807",NA,"Sèvres Manufactory|Noël, Guillaume",French,1740      |1755,9999      |1807,|,http://vocab.getty.edu/page/ulan/500054661|http://vocab.getty.edu/page/ulan/500083467,|,1771,1771,1771,Hard-paste porcelain,H. 2 1/4 in. (5.7 cm.), W. 8 3/4 in. (22.2 cm.),"Bequest of Emma T. Gary, 1934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA,http://www.metmuseum.org/art/collection/search/209355,NA,NA,"Metropolitan Museum of Art, New York, NY",Pomegranates|Flowers,http://vocab.getty.edu/page/aat/300379961|http://vocab.getty.edu/page/aat/300132399,,,,,,,,,,,,,,
2015.124.1,FALSE,FALSE,TRUE,658670,European Sculpture and Decorative Arts,2015,Vase,Vase (one of a pair),"British, Stoke-on-Trent, Staffordshire",NA,NA,NA,NA,Manufactory|Designer,NA,Minton(s)|Christopher Dresser,"British, Stoke-on-Trent, 1793–present|British, Glasgow, Scotland 1834–1904 Mulhouse",NA,"Minton|Dresser, Christopher","British|British, Scottish",1793      |1834,2001      |1904,|,http://vocab.getty.edu/page/ulan/500276237|http://vocab.getty.edu/page/ulan/500042183,|,ca. 1870,1865,1875,Bone china,"(.1) confirmed: 12 9/16 × 8 7/16 × 8 7/16 in., 4.6 lb. (31.9 × 21.4 × 21.4 cm, 2.1 kg)
(.2) confirmed: 12 7/16 × 8 7/16 × 8 7/16 in. (31.6 × 21.4 × 21.4 cm)","The Charles E. Sampson Memorial Fund, 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA,http://www.metmuseum.org/art/collection/search/658670,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
69.193.1–.11,FALSE,TRUE,TRUE,205137,European Sculpture and Decorative Arts,1969,Coffee and tea service,Coffee and tea service (déjeuner chinois réticulé),"French, Sèvres",NA,NA,NA,NA,Manufactory|Designer,NA,Sèvres Manufactory|Hyacinthe Régnier,"French, 1740–present|French, active 1825–63",NA,"Sèvres Manufactory|Régnier, Hyacinthe",French,1740      |1775,9999      |1913,|,http://vocab.getty.edu/page/ulan/500054661|http://vocab.getty.edu/page/ulan/500330608,|,1855–61,1855,1861,Hard-paste porcelain,"Tray (.1): H. 8 3/8 in. (21.3 cm.); Gr. Diam. 19 5/8 in. (49.8 cm.); coffeepot with cover (.2ab): H. 7 1/2 in. (19.1 cm.); teapot with cover (.3ab): H. 4 15/16 in. (12.5 cm.); sugar bowl with cover (.4ab): H. 4 9/16 in. (11.6 cm.); bowl and dish (.5ab): H. 2 1/8 in. (5.4 cm.); milk jug (.6): H. 4 3/4 in. (12.1 cm.); cream pitcher (.7): H. 2 3/16 in. (5.6 cm.); cups (.8,.10): H. 1 5/8 in. (4.1 cm.), Diam. 2 13/16 in. (7.1 cm.); saucers (.9): Diam. 4 3/4 in. (12.1 cm.); saucer (.11): Diam. 4 13/16 in. (12.2 cm.)","Gift of Helen Boehm, in memory of her late husband, Edward Marshall Boehm, 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA,http://www.metmuseum.org/art/collection/search/205137,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
40.65.7,FALSE,FALSE,TRUE,198651,European Sculpture and Decorative Arts,1940,Saucer,Saucer,"Austrian, Vienna",NA,NA,NA,NA,Manufactory|Factory director,NA,Vienna|Claudius Innocentius Du Paquier period,1718–1744,NA,"Vienna|Du Paquier, Claudius Innocentius",NA,1718,1744,|,|,|,ca. 1730–40,1725,1745,Hard-paste porcelain,Height: 1 1/4 in. (3.2 cm), Diameter: 4 3/4 in. (12.1 cm),"Rogers Fund, 1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA,http://www.metmuseum.org/art/collection/search/198651,NA,NA,"Metropolitan Museum of Art, New York, NY",Flowers|Leaves|Saucers,http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300011892|http://vocab.getty.edu/page/aat/300195535,,,,,,,,,,,,,,
1974.356.448,FALSE,FALSE,TRUE,205991,European Sculpture and Decorative Arts,1974,Coffee cup,Coffee cup (part of a service),"German, Meissen",NA,NA,NA,NA,Manufactory|Factory director,NA,Meissen Manufactory|Marcolini Period,"German, 1710–present|1774–1814",NA,Meissen Manufactory|MARCOLINI CAMILLO,German,1710      |1736,9999      |1836,|,http://vocab.getty.edu/page/ulan/500054662|,https://www.wikidata.org/wiki/Q822407|,ca. 1780–85,1775,1790,Hard-paste porcelain,Height: 2 11/16 in. (6.8 cm),"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA,http://www.metmuseum.org/art/collection/search/205991,NA,NA,"Metropolitan Museum of Art, New York, NY",Birds|Trees,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300132410,,,,,,,,,,,,,,,
6.397,FALSE,FALSE,TRUE,189036,European Sculpture and Decorative Arts,1906,Candlestick,Candlestick,"Italian, Florence",NA,NA,NA,NA,Manufactory|Modeler,Model attributed to,Doccia Porcelain Manufactory|Gaspero Bruschi,"Italian, 1737–1896|Italian, ca. 1710–1780, active 1737–80",NA,"Doccia Porcelain Manufactory|Bruschi, Gaspero",Italian|Italian,1737      |1710,1896      |1780,|,http://vocab.getty.edu/page/ulan/500055347|http://vocab.getty.edu/page/ulan/500042237,|,1760–70,1760,1770,Hard-paste porcelain,Height: 6 7/8 in. (17.5 cm),"Rogers Fund, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA,http://www.metmuseum.org/art/collection/search/189036,NA,NA,"Metropolitan Museum of Art, New York, NY",Men|Candlesticks,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300037588,,,,,,,,,,,,,,,
1974.356.404,FALSE,FALSE,TRUE,205956,European Sculpture and Decorative Arts,1974,Figure,Parrot (one of a pair),"German, Meissen",NA,NA,NA,NA,Manufactory|Modeler,Probably,Meissen Manufactory|Johann Joachim Kändler,"German, 1710–present|German, Fischbach 1706–1775 Meissen",NA,"Meissen Manufactory|Kändler, Johann Joachim",German|German,1710      |1706,9999      |1775,|,http://vocab.getty.edu/page/ulan/500054662|http://vocab.getty.edu/page/ulan/500001959,https://www.wikidata.org/wiki/Q822407|,ca. 1741,1736,1746,Hard-paste porcelain,Height: 4 1/16 in. (10.3 cm),"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA,http://www.metmuseum.org/art/collection/search/205956,NA,NA,"Metropolitan Museum of Art, New York, NY",Parrots,http://vocab.getty.edu/page/aat/300250076,,,,,,,,,,,,,,,
64.101.327,FALSE,FALSE,TRUE,203238,European Sculpture and Decorative Arts,1964,Figure group,The Large Bow,"German, Ludwigsburg",NA,NA,NA,NA,Manufactory|Modeler,Attributed to,Ludwigsburg Porcelain Manufactory|Gottlieb Friedrich Riedel,"German, 1758–1824|German, Dresden 1724–1784 Augsburg",NA,"Ludwigsburg Porcelain Manufactory|Riedel, Gottlieb Friedrich",German,1758      |1724,1824      |1784,|,http://vocab.getty.edu/page/ulan/500332682|http://vocab.getty.edu/page/ulan/500061591,|,ca. 1770,1765,1775,Hard-paste porcelain,Overall (confirmed): 4 1/2 × 3 7/8 × 2 13/16 in. (11.4 × 9.8 × 7.1 cm),"Gift of Irwin Untermyer, 1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceramics-Porcelain,NA,http://www.metmuseum.org/art/collection/search/203238,NA,NA,"Metropolitan Museum of Art, New York, NY",Men,http://vocab.getty.edu/page/aat/300025928,,,,,,,,,,,,,,,
09.200.7,FALSE,FALSE,FALSE,191227,European Sculpture and Decorative Arts,1909,Hourglass stand,Hourglass stand,"British, Birmingham, after Portuguese original",NA,NA,NA,NA,Manufacturer,NA,Elkington & Co.,"British, Birmingham, 1829–1963",NA,Elkington & Co.,British,1829,1963,NA,http://vocab.getty.edu/page/ulan/500333989,NA,"19th century, after 17th century original",1800,1899,Silver on base metal,Height: 8 in. (20.3 cm),"Rogers Fund, 1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metalwork-Electrotype,NA,http://www.metmuseum.org/art/collection/search/191227,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
58.638.84,FALSE,FALSE,FALSE,838288,Drawings and Prints,1958,"Drawings, Ornament & Architecture",Carriage drawing No 4693,NA,NA,NA,NA,NA,Manufacturer,NA,T. Peters and Sons,"British, active ca. 1830–1890",NA,"Peters, T. and Sons",NA,1830,1890,NA,NA,NA,ca. 1830–70,1825,1875,"Pen and black ink with watercolor, gouache, metallic ink and gum arabic",Sheet: 6 11/16 × 10 1/4 in. (17 × 26 cm),"Gift of Stewart Huston, 1958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings|Ornament & Architecture,NA,http://www.metmuseum.org/art/collection/search/838288,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
58.638.358,FALSE,FALSE,FALSE,843358,Drawings and Prints,1958,"Drawings, Ornament & Architecture",Design for a Britska,NA,NA,NA,NA,NA,Manufacturer,NA,T. Peters and Sons,"British, active ca. 1830–1890",NA,"Peters, T. and Sons",NA,1830,1890,NA,NA,NA,ca. 1830–70,1825,1875,Pen and black ink,Sheet: 5 1/2 × 7 1/16 in. (14 × 18 cm),"Gift of Stewart Huston, 1958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings|Ornament & Architecture,NA,http://www.metmuseum.org/art/collection/search/843358,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
2009.152,FALSE,FALSE,TRUE,18861,The American Wing,2009,Pitcher,Pitcher,American,NA,NA,NA,NA,Manufacturer,NA,Tucker Factory,1826–1838,NA,Tucker Factory,NA,1826,1838,NA,http://vocab.getty.edu/page/ulan/500124181,NA,1828–38,1828,1838,Porcelain,H. 7 1/8 in. (18.1 cm),"Gift of Emma and Jay Lewis, 2009",Made in,Philadelphia,NA,NA,United States,NA,NA,NA,NA,NA,NA,Ceramics,NA,http://www.metmuseum.org/art/collection/search/18861,NA,NA,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,,,,,,,,,,,,,,,
23.112.2606,FALSE,FALSE,FALSE,751301,Drawings and Prints,1923,Drawing,Cabriolet #21316a,NA,NA,NA,NA,NA,Manufacturer,NA,Brewster & Co.,"American, New York",NA,Brewster & Co.,NA,NA,NA,NA,NA,NA,1897,1897,1897,"Graphite and ink on wove paper adhered to canvas, perforated on the end for binding.",Sheet: 13 1/4 in. × 22 in. (33.7 × 55.9 cm),"Gift of William Brewster, 1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/751301,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
23.112.70,FALSE,FALSE,TRUE,378139,Drawings and Prints,1923,Drawing,"Design for Landau, No. 3061",NA,NA,NA,NA,NA,Manufacturer,NA,Brewster & Co.,"American, New York",NA,Brewster & Co.,American,NA,NA,NA,NA,NA,1874,1874,1874,"Pen and black ink, watercolor and gouache with gum arabic",sheet: 6 3/4 x 9 7/8 in. (17.1 x 25.1 cm),"Gift of William Brewster, 1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/378139,NA,NA,"Metropolitan Museum of Art, New York, NY",Carriages,http://vocab.getty.edu/page/aat/300185335,,,,,,,,,,,,,,,
23.112.1679,FALSE,FALSE,TRUE,379746,Drawings and Prints,1923,Drawing,"Design for 4 seat Phaeton, no top (unnumbered)",NA,NA,NA,NA,NA,Manufacturer,NA,Brewster & Co.,"American, New York",NA,Brewster & Co.,American,NA,NA,NA,NA,NA,1850–70,1850,1870,"Pen and black ink, watercolor and gouache with gum arabic",sheet: 6 x 8 1/2 in. (15.2 x 21.6 cm),"Gift of William Brewster, 1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/379746,NA,NA,"Metropolitan Museum of Art, New York, NY",Carriages,http://vocab.getty.edu/page/aat/300185335,,,,,,,,,,,,,,,
58.638.344,FALSE,FALSE,FALSE,843211,Drawings and Prints,1958,"Drawings, Ornament & Architecture",Design for a Britska,NA,NA,NA,NA,NA,Manufacturer,NA,T. Peters and Sons,"British, active ca. 1830–1890",NA,"Peters, T. and Sons",NA,1830,1890,NA,NA,NA,ca. 1830–70,1825,1875,"Pen and black ink with watercolor, gouache and gum arabic",Sheet: 5 11/16 × 8 7/8 in. (14.5 × 22.5 cm),"Gift of Stewart Huston, 1958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings|Ornament & Architecture,NA,http://www.metmuseum.org/art/collection/search/843211,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
58.638.378,FALSE,FALSE,FALSE,840650,Drawings and Prints,1958,"Drawings, Ornament & Architecture",Design for a Carriage,NA,NA,NA,NA,NA,Manufacturer,NA,T. Peters and Sons,"British, active ca. 1830–1890",NA,"Peters, T. and Sons",NA,1830,1890,NA,NA,NA,ca. 1830–70,1825,1875,Graphite,Sheet: 5 11/16 × 8 7/16 in. (14.5 × 21.5 cm),"Gift of Stewart Huston, 1958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings|Ornament & Architecture,NA,http://www.metmuseum.org/art/collection/search/840650,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
1989.375.8,FALSE,FALSE,FALSE,113723,Costume Institute,1989,Bracelet,Bracelet,Japanese,NA,NA,NA,NA,Manufacturer,NA,Panasonic,Japanese,NA,Panasonic,Japanese,NA,NA,NA,NA,NA,late 1970s–early 1980s,1975,1985,"plastic, metal",NA,"Gift of Gregory R. Reynolds, 1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.metmuseum.org/art/collection/search/113723,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
23.112.1909,FALSE,FALSE,TRUE,379975,Drawings and Prints,1923,Drawing,"Design for Tandem Cart, no. 1116",NA,NA,NA,NA,NA,Manufacturer,NA,Brewster & Co.,"American, New York",NA,Brewster & Co.,American,NA,NA,NA,NA,NA,1850–70,1850,1870,"Graphite, pen and black ink, watercolor and gouache with gum arabic",sheet: 6 7/8 x 9 1/8 in. (17.5 x 23.2 cm),"Gift of William Brewster, 1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/379975,NA,NA,"Metropolitan Museum of Art, New York, NY",Carriages,http://vocab.getty.edu/page/aat/300185335,,,,,,,,,,,,,,,
1994.154.1,FALSE,FALSE,FALSE,91632,Costume Institute,1994,Undershirt,Undershirt,American,NA,NA,NA,NA,Manufacturer,NA,Realsilk,American,NA,Realsilk,American,NA,NA,NA,NA,NA,1940s,1940,1949,rayon,NA,"Gift of Mrs. David S. Kapell, 1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.metmuseum.org/art/collection/search/91632,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
23.112.2601,FALSE,FALSE,FALSE,751287,Drawings and Prints,1923,Drawing,Cabriolet #20625,NA,NA,NA,NA,NA,Manufacturer,NA,Brewster & Co.,"American, New York",NA,Brewster & Co.,NA,NA,NA,NA,NA,NA,1894,1894,1894,Graphite on wove paper with perforated linen tape adhered to left edge for binding. Graphite on glazed silk tracing paper overlay.,Sheet: 13 1/8 × 22 3/4 in. (33.3 × 57.8 cm),"Gift of William Brewster, 1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/751287,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
23.112.2706a,FALSE,FALSE,FALSE,760184,Drawings and Prints,1923,Drawing,Skeleton Boot Victoria #24530,NA,NA,NA,NA,NA,Manufacturer,NA,Brewster & Co.,"American, New York",NA,Brewster & Co.,NA,NA,NA,NA,NA,NA,1904,1904,1904,Graphite on tracing paper overlay.,Sheet: 11 1/4 × 15 1/2 in. (28.6 × 39.4 cm),"Gift of William Brewster, 1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/760184,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
23.112.1986,FALSE,FALSE,TRUE,380055,Drawings and Prints,1923,Drawing,"Design for Wagon, no. 577d",NA,NA,NA,NA,NA,Manufacturer,NA,Brewster & Co.,"American, New York",NA,Brewster & Co.,American,NA,NA,NA,NA,NA,ca. 1860,1850,1870,"Pen and black ink, watercolor and gouache",sheet: 7 1/16 x 9 5/8 in. (17.9 x 24.4 cm),"Gift of William Brewster, 1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/380055,NA,NA,"Metropolitan Museum of Art, New York, NY",Carriages,http://vocab.getty.edu/page/aat/300185335,,,,,,,,,,,,,,,
23.112.808,FALSE,FALSE,TRUE,378883,Drawings and Prints,1923,Drawing,"Design for 4 seat Phaeton, no top, no. 3715",NA,NA,NA,NA,NA,Manufacturer,NA,Brewster & Co.,"American, New York",NA,Brewster & Co.,American,NA,NA,NA,NA,NA,1881,1881,1881,"Pen and black ink, watercolor and gouache",Sheet: 6 5/8 x 9 5/8 in. (16.8 x 24.4 cm),"Gift of William Brewster, 1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/378883,NA,NA,"Metropolitan Museum of Art, New York, NY",Carriages,http://vocab.getty.edu/page/aat/300185335,,,,,,,,,,,,,,,
